MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NCR COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
BASIC NECESSITIES (BN),,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,"SPECIFICATION
(size, unit, weight, height, etc.)","SRP
01 FEB 2025 (ADJUSTED)","MONITORED PREVAILING PRICE, NCR",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,2025-11-01,OCTOBER,% CHANGE,PHP DIFF.,2025-11-01,2025-08-01,% CHANGE,PHP DIFF.
Bottled Water - Distilled,ABSOLUTE PURE Distilled Drinking Water,Absolute,250ml,NO SRP,9.5,9.5,0.00%,0,9.5,9.5,0.00%,0
Bottled Water - Distilled,ABSOLUTE PURE Distilled Drinking Water,Absolute,350ml,12,12,12,0.00%,0,12,12,0.00%,0
Bottled Water - Distilled,ABSOLUTE PURE Distilled Drinking Water,Absolute,500ml,16.25,16.25,16.25,0.00%,0,16.25,16.25,0.00%,0
Bottled Water - Distilled,ABSOLUTE PURE Distilled Drinking Water,Absolute,1L,25,25,25,0.00%,0,25,25,0.00%,0
Bottled Water - Distilled,ABSOLUTE PURE Distilled Drinking Water,Absolute,1.5L,NO SRP,35,35,0.00%,0,35,36,-2.78%,-1
Bottled Water - Distilled,ABSOLUTE PURE Distilled Drinking Water,Absolute,6L,82,82,82,0.00%,0,82,82,0.00%,0
Bottled Water - Distilled,ABSOLUTE PURE Distilled Drinking Water,Absolute,8L,NO SRP,80,96,-16.67%,-16,80,95.7,-16.41%,-15.7
Bottled Water - Distilled,AQUA SPRING Distilled Water,Aqua Spring,6L,NO SRP,51,51,0.00%,0,51,51,0.00%,0
Bottled Water - Distilled,NATURE'S SPRING Distilled Water,Nature's Spring,2L,NO SRP,27,31,-12.90%,-4,27,29.25,-7.69%,-2.25
Bottled Water - Distilled,NATURE'S SPRING Distilled Water,Nature's Spring,5L,NO SRP,,58.5,,,,55.5,,
Bottled Water - Distilled,NATURE'S SPRING Distilled Water,Nature's Spring,6.6L,NO SRP,79.5,79.5,0.00%,0,79.5,79.5,0.00%,0
Bottled Water - Distilled,SM BONUS Distilled Drinking Water,SM Bonus,325ml,6.5,6.5,6.5,0.00%,0,6.5,6.5,0.00%,0
Bottled Water - Distilled,SM BONUS Distilled Drinking Water,SM Bonus,500ml,8.5,8.5,8.5,0.00%,0,8.5,8.5,0.00%,0
Bottled Water - Distilled,SM BONUS Distilled Drinking Water,SM Bonus,6L,NO SRP,,,,,,,,
Bottled Water - Distilled,SM BONUS Distilled Drinking Water,SM Bonus,6.6L,54.5,54.5,54.5,0.00%,0,54.5,54.5,0.00%,0
Bottled Water - Distilled,SUREBUY Distilled Drinking Water,Surebuy,6.6L,NO SRP,51,,,,51,73.25,-30.38%,-22.25
Bottled Water - Distilled,WILKINS Distilled,Wilkins,330mL,12,12,12,0.00%,0,12,12,0.00%,0
Bottled Water - Distilled,WILKINS Distilled,Wilkins,500mL,17,17,17,0.00%,0,17,17,0.00%,0
Bottled Water - Distilled,WILKINS Distilled,Wilkins,1L,25,25,25,0.00%,0,25,25,0.00%,0
Bottled Water - Distilled,WILKINS Distilled,Wilkins,5L,NO SRP,70.25,69,1.81%,1.25,70.25,69,1.81%,1.25
Bottled Water - Distilled,WILKINS Distilled,Wilkins,7L,88,88,88,0.00%,0,88,88,0.00%,0
Bottled Water - Mineral,AQUALIZED Mineral Water,Aqualized,350ml,NO SRP,7.6,7.6,0.00%,0,7.6,7.6,0.00%,0
Bottled Water - Mineral,AQUALIZED Mineral Water,Aqualized,1L,NO SRP,15.4,15.4,0.00%,0,15.4,15.4,0.00%,0
Bottled Water - Mineral,AQUALIZED Mineral Water,Aqualized,6L,NO SRP,71,71,0.00%,0,71,71,0.00%,0
Bottled Water - Mineral,HIDDEN Spring Mineral Water,Hidden Spring,330mL,8.8,,8.75,,,,8.75,,
Bottled Water - Mineral,HIDDEN Spring Mineral Water,Hidden Spring,500mL,12.1,12,12,0.00%,0,12,12,0.00%,0
Bottled Water - Mineral,REFRESH Mineral Water,Refresh,350ml,6,6.55,6,9.17%,0.55,6.55,6,9.17%,0.55
Bottled Water - Mineral,REFRESH  Mineral Water,Refresh,500ml,8.25,8.4,8.25,1.82%,0.15,8.4,8.25,1.82%,0.15
Bottled Water - Mineral,REFRESH  Mineral Water,Refresh,5L+675ml,NO SRP,57.2,57.2,0.00%,0,57.2,55,4.00%,2.2
Bottled Water - Mineral,ROBINSONS Mall Mineral Water,Robinsons Mall,500ml,10.45,10.25,,,,10.25,10.25,0.00%,0
Bottled Water - Mineral,SAMDASOO Mineral Water,Samdasoo,500ml,NO SRP,40,40,0.00%,0,40,37.75,5.96%,2.25
Bottled Water - Mineral,SAMDASOO Mineral Water,Samdasoo,2L,NO SRP,105.5,105.5,0.00%,0,105.5,100,5.50%,5.5
Bottled Water - Mineral,SUMMIT Natural Drinking Water,Summit,350ml,10,10,10,0.00%,0,10,10,0.00%,0
Bottled Water - Mineral,SUMMIT Natural Drinking Water,Summit,500ml,12,12,12,0.00%,0,12,12,0.00%,0
Bottled Water - Mineral,SUMMIT Natural Drinking Water,Summit,1L,19.5,19.5,19.5,0.00%,0,19.5,19.5,0.00%,0
Bottled Water - Mineral,SUMMIT Natural Drinking Water,Summit,1.5L,NO SRP,26,26,0.00%,0,26,26,0.00%,0
Bottled Water - Mineral,SUMMIT Natural Drinking Water,Summit,2L,NO SRP,38,35.7,6.44%,2.3,38,35.3,7.65%,2.7
Bottled Water - Mineral,SUMMIT Natural Drinking Water,Summit,6L,75,75,72,4.17%,3,75,72,4.17%,3
Bottled Water - Mineral,SUPERSAVERS NATURE'S Pure Mineral Water,Supersavers Nature's,330ml,7.15,,,,,,,,
Bottled Water - Mineral,SUPERSAVERS NATURE'S Pure Mineral Water,Supersavers Nature's,500ml,8.7,,,,,,,,
Bottled Water - Mineral,VIVA Mineral Water,Viva,330ml,10,,,,,,,,
Bottled Water - Mineral,VIVA Mineral Water ,Viva,500ml,13,,,,,,,,
Bottled Water - Mineral,VIVA Mineral Water ,Viva,1L,19,,,,,,,,
Bottled Water - Purified,AQUAFINA Purified Drinking Water,Aquafina,350ml,NO SRP,,,,,,,,
Bottled Water - Purified,AQUAFINA Purified Drinking Water,Aquafina,500ml,NO SRP,,,,,,,,
Bottled Water - Purified,AQUALIFE Purified Drinking Water,Aqualife,350ml,NO SRP,7.6,7.6,0.00%,0,7.6,7.6,0.00%,0
Bottled Water - Purified,AQUALIFE Purified Drinking Water,Aqualife,500ml,NO SRP,9.5,9.5,0.00%,0,9.5,9.5,0.00%,0
Bottled Water - Purified,AQUALIFE Purified Drinking Water,Aqualife,1L,NO SRP,15.4,15.4,0.00%,0,15.4,15.4,0.00%,0
Bottled Water - Purified,AQUASPRING Purified Drinking Water,Aquaspring,350ml,NO SRP,,,,,,,,
Bottled Water - Purified,HEALTHY & PURE Purified Water,Healthy & Pure,350ml,NO SRP,,,,,,,,
Bottled Water - Purified,HEALTHY & PURE Purified Water,Healthy & Pure,500ml,NO SRP,,,,,,,,
Bottled Water - Purified,MAGNOLIA Pure Purified Water,Magnolia Pure,355ml,8.5,,8.5,,,,7.25,,
Bottled Water - Purified,MAGNOLIA Pure Purified Water,Magnolia Pure,500ml,10.5,10.5,10.5,0.00%,0,10.5,9.5,10.53%,1
Bottled Water - Purified,MAGNOLIA Pure Purified Water,Magnolia Pure,1L,19.5,,19.5,,,,15,,
Bottled Water - Purified,NATURES SPRING Drinking Water ,Nature's Spring,350ml,NO SRP,8.25,8.25,0.00%,0,8.25,8.25,0.00%,0
Bottled Water - Purified,NATURES SPRING Drinking Water ,Nature's Spring,500ml,10.5,10.5,10.5,0.00%,0,10.5,10.5,0.00%,0
Bottled Water - Purified,NATURES SPRING Drinking Water ,Nature's Spring,1L,16.5,16.5,16.5,0.00%,0,16.5,16.5,0.00%,0
Bottled Water - Purified,NATURES SPRING Drinking Water ,Nature's Spring,2L,NO SRP,28.75,28.75,0.00%,0,28.75,27.15,5.89%,1.6
Bottled Water - Purified,PREMIER Purified Water,Premier,350ml,NO SRP,,7.5,,,,8.25,,
Bottled Water - Purified,PURE BLUE Purified Water,Pure Blue,500ml,NO SRP,,,,,,,,
Bottled Water - Purified,PURE BLUE Purified Water,Pure Blue,1L,NO SRP,,,,,,,,
Bottled Water - Purified,PURE BLUE Purified Water,Pure Blue,2L,NO SRP,,,,,,,,
Bottled Water - Purified,REFRESH Purified Water,Refresh,500ml,6.75,,,,,,,,
Bottled Water - Purified,SIP Purified Water,SIP,350ml,NO SRP,10,10,0.00%,0,10,10,0.00%,0
Bottled Water - Purified,SIP Purified Water,SIP,500ml,NO SRP,12,12,0.00%,0,12,12,0.00%,0
