MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NCR COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
CONSTRUCTION MATERIALS ,,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,UNIT,SIZE,"MONITORED PREVAILING PRICE, NCR",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,NOVEMBER,OCTOBER,% CHANGE,PHP DIFF.,NOVEMBER,AUGUST,% CHANGE,PHP DIFF.
Ballast,FIREFLY Ballast - 18W,Firefly,watts,18 watts,,,,,,,,
Ballast,FIREFLY Ballast - 20W,Firefly,watts,20 watts,,,,,,,,
Ballast,GE Ballast - 18W,GE,watts,18 watts,,,,,,,,
Ballast,GE Ballast - 20W,GE ,watts,20 watts,,,,,,,,
Ballast,OSRAM Ballast - 18W,Osram,watts,18 Watts,,,,,,,,
Ballast,OSRAM Ballast - 20W,Osram,watts,20 Watts,,,,,,,,
Ballast,PHILIPS Ballast - 18W,Philips,watts,18 Watts,,,,,,,,
Ballast,PHILIPS Ballast - 20W,Philips ,watts,20 Watts,,,,,,,,
Bulb - Incandescent Lamp,FIREFLY Incandescent Lamp 25W,Firefly,watts,25 watts,,,,,,,,
Bulb - Incandescent Lamp,FIREFLY Incandescent Lamp 40W,Firefly,watts,40 watts,,,,,,,,
Bulb - Incandescent Lamp,GE Incandescent Lamp 25W,GE,watts,25 watts,,,,,,,,
Bulb - Incandescent Lamp,GE Incandescent Lamp 40W,GE,watts,40 watts,,,,,,,,
Bulb - Incandescent Lamp,PHILIPS Incandescent Lamp 25W,Philips,watts,25 Watts,,,,,,,,
Bulb - Incandescent Lamp,PHILIPS Incandescent Lamp 40W,Philips,watts,40 Watts,,,,,,,,
Bulb - LED Bulb,AKARI LED Bulb - 10W,Akari,watts,10 watts,125,125,0.00%,0,125,140,-10.71%,-15
Bulb - LED Bulb,AKARI LED Bulb - 15W,Akari,watts,15 watts,199,199,0.00%,0,199,199,0.00%,0
Bulb - LED Bulb,AKARI LED Bulb - 5W,Akari,watts,5 watts,89.75,89.75,0.00%,0,89.75,90,-0.28%,-0.25
Bulb - LED Bulb,AKARI LED Bulb - 7W,Akari,watts,7 watts,105,105,0.00%,0,105,120,-12.50%,-15
Bulb - LED Bulb,ECOLUM LED Bulb - 11W,Ecolum,watts,11 watts,86,86,0.00%,0,86,90,-4.44%,-4
Bulb - LED Bulb,ECOLUM LED Bulb - 13W,Ecolum,watts,13 watts,101,101,0.00%,0,101,120,-15.83%,-19
Bulb - LED Bulb,ECOLUM LED Bulb - 15W,Ecolum,watts,15 watts,123,150,-18.00%,-27,123,123,0.00%,0
Bulb - LED Bulb,ECOLUM LED Bulb - 3W,Ecolum,watts,3 watts,85,80,6.25%,5,85,60,41.67%,25
Bulb - LED Bulb,ECOLUM LED Bulb - 5W,Ecolum,watts,5 watts,62,62,0.00%,0,62,63,-1.59%,-1
Bulb - LED Bulb,ECOLUM LED Bulb - 7W,Ecolum,watts,7 watts,66,66,0.00%,0,66,70,-5.71%,-4
Bulb - LED Bulb,ECOLUM LED Bulb - 9W,Ecolum,watts,9 watts,76,76,0.00%,0,76,80,-5.00%,-4
Bulb - LED Bulb,FIREFLY Basic Series LED A-Bulb - 11W,Firefly,watts,11 watts,165,115,43.48%,50,165,115,43.48%,50
Bulb - LED Bulb,FIREFLY Basic Series LED A-Bulb - 13W,Firefly,watts,13 watts,195,140,39.29%,55,195,140,39.29%,55
Bulb - LED Bulb,FIREFLY Basic Series LED A-Bulb - 15W,Firefly,watts,15 watts,215,155,38.71%,60,215,155,38.71%,60
Bulb - LED Bulb,FIREFLY Basic Series LED A-Bulb - 18W,Firefly,watts,18 watts,220,230,-4.35%,-10,220,230,-4.35%,-10
Bulb - LED Bulb,FIREFLY Basic Series LED A-Bulb - 3W,Firefly,watts,3 watts,95,65,46.15%,30,95,65,46.15%,30
Bulb - LED Bulb,FIREFLY Basic Series LED A-Bulb - 5W,Firefly,watts,5 watts,100,75,33.33%,25,100,75,33.33%,25
Bulb - LED Bulb,FIREFLY Basic Series LED A-Bulb - 7W,Firefly,watts,7 watts,125,90,38.89%,35,125,90,38.89%,35
Bulb - LED Bulb,FIREFLY Basic Series LED A-Bulb - 9W,Firefly,watts,9 watts,135,95,42.11%,40,135,95,42.11%,40
Bulb - LED Bulb,GE LED Bulb - 11W,GE,watts,11 watts,,,,,,,,
Bulb - LED Bulb,GE LED Bulb - 13W,GE,watts,13 watts,,,,,,,,
Bulb - LED Bulb,GE LED Bulb - 15W,GE,watts,15 watts,,,,,,,,
Bulb - LED Bulb,GE LED Bulb - 3W,GE,watts,3 watts,,,,,,,,
Bulb - LED Bulb,GE LED Bulb - 5W,GE,watts,5 watts,,,,,,,,
Bulb - LED Bulb,GE LED Bulb - 7W,GE,watts,7 watts,,,,,,,,
Bulb - LED Bulb,GE LED Bulb - 9W,GE,watts,9 watts,,,,,,,,
Bulb - LED Bulb,OMNI LED Lite Bulb Series - 12W,Omni,watts,12 watts,164.75,164.75,0.00%,0,164.75,180,-8.47%,-15.25
Bulb - LED Bulb,OMNI LED Lite Bulb Series - 15W,Omni,watts,15 watts,245,244,0.41%,1,245,244.75,0.10%,0.25
Bulb - LED Bulb,OMNI LED Lite Bulb Series - 3W,Omni,watts,3 watts,75,75,0.00%,0,75,80,-6.25%,-5
Bulb - LED Bulb,OMNI LED Lite Bulb Series - 6W,Omni,watts,6 watts,95,95,0.00%,0,95,100,-5.00%,-5
Bulb - LED Bulb,OMNI LED Lite Bulb Series - 9W,Omni,watts,9 watts,95,114,-16.67%,-19,95,130,-26.92%,-35
Bulb - LED Bulb,OPPLE LED EcoMax1 Bulb - 12W,Opple,watts,12 watts,108,140,-22.86%,-32,108,,,
Bulb - LED Bulb,OPPLE LED EcoMax1 Bulb - 14W,Opple,watts,14 watts,180,,,,180,,,
Bulb - LED Bulb,OPPLE LED EcoMax1 Bulb - 3W,Opple,watts,3 watts,,70,,,,,,
Bulb - LED Bulb,OPPLE LED EcoMax1 Bulb - 5W,Opple,watts,5 watts,90,90,0.00%,0,90,,,
Bulb - LED Bulb,OPPLE LED EcoMax1 Bulb - 7W,Opple,watts,7 watts,110,100,10.00%,10,110,,,
Bulb - LED Bulb,OPPLE LED EcoMax1 Bulb - 9W,Opple,watts,9 watts,89,120,-25.83%,-31,89,89,0.00%,0
Bulb - LED Bulb,OPPO LED Bulb - 12W,Oppo,watts,12 watts,130,,,,130,,,
Bulb - LED Bulb,OPPO LED Bulb - 3W,Oppo,watts,3 watts,,59,,,,59,,
Bulb - LED Bulb,OPPO LED Bulb - 5W,Oppo,watts,5 watts,85,,,,85,,,
Bulb - LED Bulb,OPPO LED Bulb - 7W,Oppo,watts,7 watts,100,,,,100,85,17.65%,15
Bulb - LED Bulb,OPPO LED Bulb - 9W,Oppo,watts,9 watts,115,,,,115,,,
Bulb - LED Bulb,PHILIPS LED Bulb - 12W,Philips,watts,12 watts,,249.5,,,,250,,
Bulb - LED Bulb,PHILIPS LED Bulb - 5W,Philips,watts,5 watts,95,95,0.00%,0,95,95,0.00%,0
Bulb - LED Bulb,PHILIPS LED Bulb - 7W,Philips,watts,7 watts,115,110,4.55%,5,115,,,
Bulb - LED Bulb,PHILIPS LED Bulb - 9W,Philips,watts,9 watts,125,125,0.00%,0,125,,,
Cement - Type 1P,ADVANCE EAGLE Cement,Advance Eagle,bag,40kg/bag,198,190,4.21%,8,198,,,
Cement - Type 1P,APO Cement,Apo,bag,40kg/bag,,,,,,,,
Cement - Type 1P,GRAND Pozzolan Cement,Grand,bag,40kg/bag,,,,,,,,
Cement - Type 1P,GRAND Premium  Cement,Grand ,bag,40kg/bag,,,,,,,,
Cement - Type 1P,HA LONG  Cement,Ha long,bag,40kg/bag,,,,,,,,
Cement - Type 1P,HOLCIM-EXCEL Cement ,Holcim-Excel,bag,40kg/bag,,195,,,,,,
Cement - Type 1P,MABUHAY Cement,Mabuhay,bag,40kg/bag,,,,,,,,
Cement - Type 1P,MAYON - Pozzolan Cement,Mayon ,bag,40kg/bag,,,,,,,,
Cement - Type 1P,MAYON Cement,Mayon,bag,40kg/bag,,,,,,,,
Cement - Type 1P,MINDANAO Cement,Mindanao,bag,40kg/bag,,,,,,,,
Cement - Type 1P,NORTHERN Cement,Northern,bag,40kg/bag,,,,,,,,
Cement - Type 1P,RED LION Cement,Red Lion,bag,40kg/bag,,,,,,,,
Cement - Type 1P,REPUBLIC  Cement,Republic,bag,40kg/bag,170,200,-15.00%,-30,170,200,-15.00%,-30
Cement - Type 1P,RIZAL Cement,Rizal,bag,40kg/bag,180,200,-10.00%,-20,180,,,
Cement - Type 1P,UNION Cement Extra Strength ES,Union,bag,40 kg/bag,,170,,,,,,
