MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NATIONWIDE COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
PRIME COMMODITIES (PC),,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,"SPECIFICATION
(size, unit, weight, height, etc.)","SRP
01 FEB 2025 (ADJUSTED)","MONITORED PREVAILING PRICE, NATIONWIDE",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,NOVEMBER,OCTOBER,% CHANGE,PHP DIFF.,NOVEMBER,AUGUST,% CHANGE,PHP DIFF.
Battery,DURACELL AAA,DURACELL,2pcs/pack,NO SRP,,,,,,,,
Battery,ENERGIZER MAX AA ,Energizer,4pcs/pack,206.25,206.25,206.25,0.00%,0,206.25,206.25,0.00%,0
Battery,EVEREADY C Super Heavy Duty Black Shrink Wrap 1.5Voltz,Eveready,2pcs/pack,NO SRP,,,,,,,,
Battery,EVEREADY Heavy Duty Battery Blister AA,Eveready,4pcs/pack,48,,,,,,,,
Battery,EVEREADY Heavy Duty Battery Red,Eveready,2pcs/pack,NO SRP,,,,,,,,
Battery,EVEREADY Heavy Duty Big RED D,Eveready,2pcs/pack,51.25,,,,,,,,
Battery,EVEREADY Heavy Duty Small Red AA,Eveready,2pcs/pack,27,,,,,,,,
Battery,EVEREADY Super Heavy Duty Black D,Eveready,2pcs/pack,77.75,77.75,77.75,0.00%,0,77.75,77.75,0.00%,0
Battery,EVEREADY Super Heavy Duty Small BLACK AA,Eveready,2pcs/pack,39.95,,,,,,39.75,,
Battery,"EVEREADY, C Super Heavy Duty Medium Black Blister 1.5 Voltz",Eveready,2pcs/pack,NO SRP,,,,,,,,
Canned Beef - Beef Loaf,555 Beef Loaf,555,150g,19.5,,19.5,,,,18.15,,
Canned Beef - Beef Loaf,ARGENTINA Beef Loaf,Argentina,150g,22,20,20,0.00%,0,20,20,0.00%,0
Canned Beef - Beef Loaf,ARGENTINA Beef Loaf,Argentina,170g,25,24,24,0.00%,0,24,24,0.00%,0
Canned Beef - Beef Loaf,ARGENTINA Beef Loaf,Argentina,250g,NO SRP,31.25,31.25,0.00%,0,31.25,31.25,0.00%,0
Canned Beef - Beef Loaf,BINGO Beef Loaf,Bingo,150g,19.5,19.5,19.5,0.00%,0,19.5,19.5,0.00%,0
Canned Beef - Beef Loaf,CDO Beef Loaf - Classic,CDO,150g,21.75,21,21,0.00%,0,21,21,0.00%,0
Canned Beef - Beef Loaf,EL RANCHO Beef Loaf,El Rancho,155g,19.5,,19.25,,,,,,
Canned Beef - Beef Loaf,HOLIDAY  Beef Loaf,Holiday,150g,NO SRP,,,,,,,,
Canned Beef - Beef Loaf,PUREFOODS Beef Loaf ,Purefoods  ,150g,18.15,,,,,,,,
Canned Beef - Beef Loaf,PUREFOODS Superior Beef Loaf,Purefoods,200g,24.9,,,,,,,,
Canned Beef - Beef Loaf,SENORITA Beef Loaf ,Senorita,150g,NO SRP,19.25,21.5,-10.47%,-2.25,19.25,21.5,-10.47%,-2.25
Canned Beef - Beef Loaf,WINNER Beef Loaf,Winner,150g,NO SRP,23.1,,,,23.1,,,
Canned Beef - Beef Loaf,WOW Beef Loaf,Wow,150g,NO SRP,,,,,,18,,
Canned Beef - Corned Beef,555 Carne Norte Guisado,555,100g,NO SRP,20.5,20.5,0.00%,0,20.5,20.5,0.00%,0
Canned Beef - Corned Beef,555 Carne Norte Guisado,555,150g,NO SRP,29.5,29.5,0.00%,0,29.5,29.5,0.00%,0
Canned Beef - Corned Beef,555 Carne Norte Guisado,555,175g,NO SRP,35,35,0.00%,0,35,35.25,-0.71%,-0.25
Canned Beef - Corned Beef,ARGENTINA Corned Beef,Argentina,100g,NO SRP,27,27,0.00%,0,27,27,0.00%,0
Canned Beef - Corned Beef,ARGENTINA Corned Beef,Argentina,150g,35.75,35,35,0.00%,0,35,35,0.00%,0
Canned Beef - Corned Beef,ARGENTINA Corned Beef,Argentina,175g,40.75,40.75,40.75,0.00%,0,40.75,40.75,0.00%,0
Canned Beef - Corned Beef,ARGENTINA Corned Beef,Argentina,260g,NO SRP,57.5,58.25,-1.29%,-0.75,57.5,57.5,0.00%,0
Canned Beef - Corned Beef,BINGO Corned Beef,Bingo,100g,NO SRP,16,16,0.00%,0,16,16,0.00%,0
Canned Beef - Corned Beef,BINGO Corned Beef,Bingo,150g,23,23,23,0.00%,0,23,23,0.00%,0
Canned Beef - Corned Beef,BINGO Corned Beef,Bingo,210g,NO SRP,,28.5,,,,27.75,,
Canned Beef - Corned Beef,CDO Home-Style Corned Beef,CDO,150g,NO SRP,34.75,34.75,0.00%,0,34.75,35.75,-2.80%,-1
Canned Beef - Corned Beef,CDO Home-Style Corned Beef,CDO,260g,NO SRP,58.75,58.75,0.00%,0,58.75,60.75,-3.29%,-2
Canned Beef - Corned Beef,CDO Karne Norte Classic Guisado,CDO,100g,NO SRP,20.5,20.5,0.00%,0,20.5,20.5,0.00%,0
Canned Beef - Corned Beef,CDO Karne Norte Classic Guisado,CDO,175g,NO SRP,33.5,33.5,0.00%,0,33.5,33.5,0.00%,0
Canned Beef - Corned Beef,CDO Karne Norte Classic Guisado,CDO,260g,NO SRP,47.75,47.75,0.00%,0,47.75,47.75,0.00%,0
Canned Beef - Corned Beef,EL RANCHO Corned Beef ,El Rancho,150g,31.25,31.25,,,,31.25,31.25,0.00%,0
Canned Beef - Corned Beef,HIGHLANDS Classic Corned Beef,Highlands,150g,NO SRP,57.5,57.5,0.00%,0,57.5,55,4.55%,2.5
Canned Beef - Corned Beef,HIGHLANDS Classic Corned Beef,Highlands,180g,NO SRP,68.75,68.75,0.00%,0,68.75,65.75,4.56%,3
Canned Beef - Corned Beef,HIGHLANDS Classic Corned Beef,Highlands,260g,NO SRP,97,97,0.00%,0,97,92.5,4.86%,4.5
Canned Beef - Corned Beef,LIBERTY Corned Beef ,Liberty,150g,NO SRP,,,,,,,,
Canned Beef - Corned Beef,LIGO Carne Norte,Ligo,150g,NO SRP,,,,,,,,
Canned Beef - Corned Beef,LUCKY 7 Carne Norte,Lucky 7,100g,NO SRP,16.75,16.75,0.00%,0,16.75,16.75,0.00%,0
Canned Beef - Corned Beef,LUCKY 7 Carne Norte,Lucky 7,150g,NO SRP,19.5,19.5,0.00%,0,19.5,19.5,0.00%,0
Canned Beef - Corned Beef,LUCKY 7 Carne Norte,Lucky 7,210g,NO SRP,29.25,29.25,0.00%,0,29.25,29.25,0.00%,0
Canned Beef - Corned Beef,MONTENERO Corned Beef,Montenero,210g,NO SRP,77,77,0.00%,0,77,77,0.00%,0
Canned Beef - Corned Beef,PUREFOODS Corned Beef ,Purefoods,150g,NO SRP,86,86,0.00%,0,86,86,0.00%,0
Canned Beef - Corned Beef,PUREFOODS Corned Beef ,Purefoods,210g,NO SRP,119,119,0.00%,0,119,119,0.00%,0
Canned Beef - Corned Beef,SEÑORITA Corned Beef,Senorita,150g,NO SRP,,34,,,,,,
Canned Beef - Corned Beef,SM Bonus Corned Beef,SM Bonus,175g,NO SRP,34.75,34.75,0.00%,0,34.75,34.75,0.00%,0
Canned Beef - Corned Beef,STAR Corned Beef,Star,175g,NO SRP,,,,,,40.75,,
Canned Beef - Corned Beef,STAR Corned Beef ,Star,150g,34,,,,,,34,,
Canned Beef - Corned Beef,SWIFT Juicy Corned Beef ,Swift,150g,NO SRP,,,,,,37.05,,
Canned Beef - Corned Beef,SWIFT Juicy Corned Beef ,Swift,175g,NO SRP,,,,,,,,
Canned Beef - Corned Beef,WAGI Carne Norte,Wagi,150g,NO SRP,21,21,0.00%,0,21,21,0.00%,0
Canned Beef - Corned Beef,WINNER Corned Beef ,Winner,150g,33.75,21,,,,21,,,
Canned Beef - Corned Beef,YOUNG'S TOWN Brand Corned Beef - Premium,Young's Town,150g,34.25,34.25,34.25,0.00%,0,34.25,34.25,0.00%,0
Canned Pork - Luncheon Meat,CDO Chinese Style Luncheon Meat ,CDO,150g,NO SRP,,,,,,20.75,,
Canned Pork - Luncheon Meat,CDO Chinese Style Luncheon Meat ,CDO,165g,41,41,41,0.00%,0,41,41,0.00%,0
Canned Pork - Luncheon Meat,CDO Chinese Style Luncheon Meat ,CDO,220g,NO SRP,54.75,54.75,0.00%,0,54.75,54.75,0.00%,0
Canned Pork - Luncheon Meat,CDO Chinese Style Luncheon Meat ,CDO,350g,NO SRP,84,84,0.00%,0,84,84,0.00%,0
Canned Pork - Luncheon Meat,HIGHLANDS Luncheon Beef,Highlands,165g,NO SRP,,,,,,,,
Canned Pork - Luncheon Meat,LA FILIPINA Luncheon Meat ,La Filipina,110g,NO SRP,,,,,,,,
Canned Pork - Luncheon Meat,LA FILIPINA Luncheon Meat ,La Filipina,190g,NO SRP,94,94,0.00%,0,94,85,10.59%,9
